domain,NS,IP
AMEX,a.nic.AMEX.,37.209.192.9
AMEX,c.nic.AMEX.,37.209.196.9
AMEX,b.nic.AMEX.,37.209.194.9
AMEX,ns1.dns.nic.AMEX.,156.154.144.10
AMEX,ns2.dns.nic.AMEX.,156.154.145.10
AMEX,ns3.dns.nic.AMEX.,156.154.159.10
ANALYTICS,a.nic.ANALYTICS.,37.209.192.10
ANALYTICS,b.nic.ANALYTICS.,37.209.194.10
ANALYTICS,ns3.dns.nic.ANALYTICS.,156.154.159.12
ANALYTICS,ns2.dns.nic.ANALYTICS.,156.154.145.12
ANALYTICS,ns1.dns.nic.ANALYTICS.,156.154.144.12
ANALYTICS,c.nic.ANALYTICS.,37.209.196.10
ANZ,z.nic.ANZ.,156.154.174.82
ANZ,a.nic.ANZ.,37.209.192.9
ANZ,c.nic.ANZ.,37.209.196.9
ANZ,x.nic.ANZ.,156.154.172.82
ANZ,b.nic.ANZ.,37.209.194.9
ANZ,y.nic.ANZ.,156.154.173.82
AMFAM,a.nic.AMFAM.,37.209.192.9
AMFAM,b.nic.AMFAM.,37.209.194.9
AMFAM,c.nic.AMFAM.,37.209.196.9
AMFAM,z.nic.AMFAM.,156.154.174.82
AMFAM,y.nic.AMFAM.,156.154.173.82
AMFAM,x.nic.AMFAM.,156.154.172.82
APP,ns-tld4.charlestonroadregistry.com.,216.239.38.105
APP,ns-tld1.charlestonroadregistry.com.,216.239.32.105
APP,ns-tld2.charlestonroadregistry.com.,216.239.34.105
APP,ns-tld5.charlestonroadregistry.com.,216.239.60.105
APP,ns-tld3.charlestonroadregistry.com.,216.239.36.105
AO,ao02.dns.pt.,185.39.208.29
AO,ao-e.ns.nic.cz.,185.43.134.13
AO,a.ns.AO.,206.51.254.4
AO,etld-1.anycast.net.,45.54.45.54
AQUARELLE,c.nic.AQUARELLE.,212.18.248.160
AQUARELLE,b.nic.AQUARELLE.,185.24.64.160
AQUARELLE,d.nic.AQUARELLE.,212.18.249.160
AQUARELLE,a.nic.AQUARELLE.,194.169.218.160
AQ,ns1.anycast.dns.AQ.,204.61.216.132
AQ,fork.sth.dnsnode.net.,77.72.229.254
AQ,ns99.dns.net.nz.,202.46.190.131
ARAB,gtld.delta.aridns.net.au.,37.209.198.10
ARAB,gtld.alpha.aridns.net.au.,37.209.192.10
ARAB,gtld.gamma.aridns.net.au.,37.209.196.10
ARAB,gtld.beta.aridns.net.au.,37.209.194.10
AOL,a0.nic.AOL.,65.22.112.42
AOL,a2.nic.AOL.,65.22.115.42
AOL,c0.nic.AOL.,65.22.114.42
AOL,b0.nic.AOL.,65.22.113.42
APARTMENTS,v2n1.nic.APARTMENTS.,161.232.15.56
APARTMENTS,v0n0.nic.APARTMENTS.,65.22.28.56
APARTMENTS,v0n2.nic.APARTMENTS.,65.22.30.56
